"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Pediococcus pentosaceus","2","Pediococcus pentosaceus ATCC 25745, complete genome"," 278197","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus pentosaceus"
"Phaeobacter porticola","2","Phaeobacter porticola strain P97 chromosome, complete genome","1844006","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Phaeobacter","Phaeobacter porticola"
"Photobacterium damselae","2","Photobacterium damselae subsp. damselae strain KC-Na-1 chromosome I, complete sequence","  85581","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium damselae"
"Piscirickettsia salmonis","2","Piscirickettsia salmonis strain LF-89, complete genome","1227812","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Piscirickettsia","Piscirickettsia salmonis"
"Porphyromonas gingivalis","2","Porphyromonas gingivalis W83, complete genome"," 242619","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Porphyromonas","Porphyromonas gingivalis"
"Prauserella marina","2","Prauserella marina strain DSM 45268 chromosome, complete genome"," 530584","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Prauserella","Prauserella marina"
"Prevotella jejuni","2","Prevotella jejuni strain CD3:33 chromosome I, complete sequence","1177574","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella jejuni"
"Proteus vulgaris","2","Proteus vulgaris strain FDAARGOS_366 chromosome, complete genome","    585","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus vulgaris"
"Pseudanabaena sp. PCC 7367","2","Pseudanabaena sp. PCC 7367, complete genome","  82654","Bacteria","Cyanobacteria","","Synechococcales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena sp. PCC 7367"
"Pseudarthrobacter chlorophenolicus","2","Pseudarthrobacter chlorophenolicus A6 chromosome, complete genome"," 452863","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter","Pseudarthrobacter chlorophenolicus"
"Pseudoalteromonas sp. NC201","2","Pseudoalteromonas sp. NC201 chromosome, complete genome","1514074","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas sp. NC201"
"Pseudomonas balearica","2","Pseudomonas balearica DSM 6083, complete genome","1123016","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas balearica"
"Pseudomonas entomophila","2","Pseudomonas entomophila str. L48 chromosome,complete sequence"," 384676","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas entomophila"
"[Pseudomonas] mesoacidophila","2","[Pseudomonas] mesoacidophila strain ATCC 31433 chromosome 1, complete sequence"," 265293","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","[Pseudomonas] mesoacidophila"
"Pseudomonas phage phiAH14b","2","Pseudomonas phage phiAH14b, complete genome","1805959","Viruses","","","","","","Pseudomonas phage phiAH14b"
"Pseudomonas psychrotolerans","2","Pseudomonas psychrotolerans strain PRS08-11306, complete genome"," 237610","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas psychrotolerans"
"Pseudomonas sp. M30-35","2","Pseudomonas sp. M30-35 chromosome, complete genome","1981174","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. M30-35"
"Pseudomonas sp. SWI6","2","Pseudomonas sp. SWI6 chromosome, complete genome","2083051","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. SWI6"
"Pseudomonas sp. TCU-HL1","2","Pseudomonas sp. TCU-HL1 chromosome, complete genome","1856685","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. TCU-HL1"
"Pseudorhodoplanes sinuspersici","2","Pseudorhodoplanes sinuspersici strain RIPI110 chromosome, complete genome","1235591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","","Pseudorhodoplanes","Pseudorhodoplanes sinuspersici"
"Psychrobacter sp. P11G5","2","Psychrobacter sp. P11G5, complete genome","1699624","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter sp. P11G5"
"Renibacterium salmoninarum","2","Renibacterium salmoninarum ATCC 33209, complete genome"," 288705","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Renibacterium","Renibacterium salmoninarum"
"Rhizobium sp. N731","2","Rhizobium sp. N731, complete genome","1703966","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. N731"
"Rhizobium tropici","2","Rhizobium tropici CIAT 899, complete genome"," 698761","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium tropici"
"Rhodobaca barguzinensis","2","Rhodobaca barguzinensis strain alga05 chromosome, complete genome"," 441209","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobaca","Rhodobaca barguzinensis"
"Rhodobacter capsulatus","2","Rhodobacter capsulatus SB 1003, complete genome"," 272942","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter capsulatus"
"Rhodobacter sp. CZR27","2","Rhodobacter sp. CZR27 chromosome, complete genome","2033869","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter sp. CZR27"
"Rhodococcus rhodochrous","2","Rhodococcus rhodochrous strain NCTC10210 genome assembly, chromosome: 1","   1829","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus rhodochrous"
"Rhodococcus sp. 2G","2","Rhodococcus sp. 2G chromosome, complete genome","1570939","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. 2G"
"Rhodococcus sp. MTM3W5.2","2","Rhodococcus sp. MTM3W5.2 chromosome, complete genome","1805827","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. MTM3W5.2"
"Rhodocyclaceae bacterium","2","Rhodocyclaceae bacterium strain Thauera-like chromosome, complete genome","1898103","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","","Rhodocyclaceae bacterium"
"Rhodomicrobium vannielii","2","Rhodomicrobium vannielii ATCC 17100, complete genome"," 648757","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodomicrobium","Rhodomicrobium vannielii"
"Rhodothermus marinus","2","Rhodothermus marinus DSM 4252, complete genome"," 518766","Bacteria","Bacteroidetes","","Bacteroidetes Order II. Incertae sedis","Rhodothermaceae","Rhodothermus","Rhodothermus marinus"
"Roseobacter litoralis","2","Roseobacter litoralis Och 149, complete genome"," 391595","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Roseobacter","Roseobacter litoralis"
"Rothia aeria","2","Rothia aeria DNA, complete genome"," 172042","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia aeria"
"Rothia dentocariosa","2","Rothia dentocariosa ATCC 17931, complete genome"," 762948","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Rothia","Rothia dentocariosa"
"Rufibacter sp. DG15C","2","Rufibacter sp. DG15C, complete genome","1379909","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Rufibacter","Rufibacter sp. DG15C"
"Saccharomonospora viridis","2","Saccharomonospora viridis DSM 43017, complete genome"," 471857","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharomonospora","Saccharomonospora viridis"
"Saccharothrix espanaensis","2","Saccharothrix espanaensis DSM 44229 complete genome","1179773","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Saccharothrix","Saccharothrix espanaensis"
"Salinispora arenicola","2","Salinispora arenicola CNS-205, complete genome"," 391037","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Salinispora","Salinispora arenicola"
"Salinispora tropica","2","Salinispora tropica CNB-440, complete genome"," 369723","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Salinispora","Salinispora tropica"
"Selenomonas sputigena","2","Selenomonas sputigena ATCC 35185, complete genome"," 546271","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","Selenomonas sputigena"
"Serratia plymuthica","2","Serratia plymuthica 4Rx13, complete genome"," 682634","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Serratia","Serratia plymuthica"
"Shewanella sp. FDAARGOS_354","2","Shewanella sp. FDAARGOS_354 chromosome, complete genome","1930557","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella sp. FDAARGOS_354"
"Simplicispira sp. SC1-8","2","Simplicispira sp. SC1-8 chromosome, complete genome","2109915","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira","Simplicispira sp. SC1-8"
"Sphingobacterium sp. G1-14","2","Sphingobacterium sp. G1-14 chromosome, complete genome","2003121","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Sphingobacterium sp. G1-14"
"Sphingobium sp. MI1205","2","Sphingobium sp. MI1205 chromosome 1, complete sequence"," 407020","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium sp. MI1205"
"Sphingorhabdus sp. YGSMI21","2","Sphingorhabdus sp. YGSMI21 chromosome, complete genome","2077182","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus","Sphingorhabdus sp. YGSMI21"
"Spirosoma radiotolerans","2","Spirosoma radiotolerans strain DG5A, complete genome","1379870","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma","Spirosoma radiotolerans"
"Staphylococcus argenteus","2","Staphylococcus argenteus MSHR1132 complete genome sequence"," 985002","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus argenteus"
"Staphylococcus schleiferi","2","Staphylococcus schleiferi strain 1360-13, complete genome","   1295","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus schleiferi"
"Staphylococcus xylosus","2","Staphylococcus xylosus strain HKUOPL8, complete genome","   1288","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus xylosus"
"Steroidobacter denitrificans","2","Steroidobacter denitrificans strain DSM 18526, complete genome"," 465721","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Sinobacteraceae","Steroidobacter","Steroidobacter denitrificans"
"Streptococcus cristatus","2","Streptococcus cristatus AS 1.3089 chromosome, complete genome","1302863","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus cristatus"
"Streptococcus parasanguinis","2","Streptococcus parasanguinis ATCC 15912, complete genome"," 760570","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus parasanguinis"
"Streptococcus sp. I-G2","2","Streptococcus sp. I-G2, complete genome","1156431","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus sp. I-G2"
"Streptomyces albulus","2","Streptomyces albulus strain NK660, complete genome","  68570","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces albulus"
"Streptomyces globisporus","2","Streptomyces globisporus C-1027, complete genome","1172567","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces globisporus"
"Streptomyces lincolnensis","2","Streptomyces lincolnensis strain NRRL 2936, complete genome","   1915","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces lincolnensis"
"Streptomyces lydicus","2","Streptomyces lydicus strain A02 chromosome, complete genome","  47763","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces lydicus"
"Streptomyces malaysiensis","2","Streptomyces malaysiensis DSM4137 chromosome, complete sequence","  92644","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces malaysiensis"
"Streptomyces niveus","2","Streptomyces niveus strain SCSIO 3406, complete genome"," 193462","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces niveus"
"Streptomyces noursei","2","Streptomyces noursei ATCC 11455, complete genome"," 316284","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces noursei"
"Streptomyces olivaceus","2","Streptomyces olivaceus strain KLBMP 5084 chromosome, complete genome","  47716","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces olivaceus"
"Streptomyces pratensis","2","Streptomyces pratensis ATCC 33331, complete genome"," 591167","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces pratensis"
"Streptomyces sp. 4F","2","Streptomyces sp. 4F, complete genome","1751294","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. 4F"
"Streptomyces sp. 769","2","Streptomyces sp. 769, complete genome","1262452","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. 769"
"Streptomyces sp. CMB-StM0423","2","Streptomyces sp. CMB-StM0423 chromosome, complete genome","2059884","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. CMB-StM0423"
"Streptomyces sp. DUT11","2","Streptomyces sp. DUT11 chromosome","1914992","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. DUT11"
"Streptomyces sp. PAMC 26508","2","Streptomyces sp. PAMC26508, complete genome","1265601","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. PAMC 26508"
"Streptomyces sp. Sge12","2","Streptomyces sp. Sge12, complete genome","1972846","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. Sge12"
"Streptomyces sp. SirexAA-E","2","Streptomyces sp. SirexAA-E, complete genome"," 862751","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. SirexAA-E"
"Streptomyces sp. Tue 6075","2","Streptomyces sp. Tue6075, complete genome","1661694","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. Tue 6075"
"Streptomyces sp. WAC00288","2","Streptomyces sp. WAC00288 chromosome, complete genome","2094021","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. WAC00288"
"Streptomyces sp. XZHG99","2","Streptomyces sp. XZHG99 chromosome, complete genome","2049881","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. XZHG99"
"Sugiyamaella lignohabitans","2","Sugiyamaella lignohabitans strain CBS 10342 chromosome A, complete sequence"," 796027","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Sugiyamaella","Sugiyamaella lignohabitans"
"Sulfuritalea hydrogenivorans","2","Sulfuritalea hydrogenivorans sk43H DNA, complete genome","1223802","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Sterolibacteriaceae","Sulfuritalea","Sulfuritalea hydrogenivorans"
